id;title;author;year;genre;pages;rating
1;1984;George Orwell;1949;Dystopian;328;4.7
2;To Kill a Mockingbird;Harper Lee;1960;Classic;281;4.8
3;The Hobbit;J.R.R. Tolkien;1937;Fantasy;310;4.8
4;Harry Potter and the Philosopher's Stone;J.K. Rowling;1997;Fantasy;223;4.9
5;The Great Gatsby;F. Scott Fitzgerald;1925;Classic;180;4.4
6;Pride and Prejudice;Jane Austen;1813;Romance;432;4.7
7;The Catcher in the Rye;J.D. Salinger;1951;Classic;234;4.2
8;The Alchemist;Paulo Coelho;1988;Fiction;208;4.6
9;Dune;Frank Herbert;1965;Science Fiction;412;4.8
10;The Little Prince;Antoine de Saint-Exupéry;1943;Children's Fiction;96;4.7
