id;title;year;director;genre;rating
1;Inception;2010;Christopher Nolan;Sci-Fi;8.8
2;The Dark Knight;2008;Christopher Nolan;Action;9.0
3;Interstellar;2014;Christopher Nolan;Sci-Fi;8.7
4;Toy Story;1995;John Lasseter;Animation;8.3
5;The Matrix;1999;Lana Wachowski & Lilly Wachowski;Sci-Fi;8.7
6;Spirited Away;2001;Hayao Miyazaki;Animation;8.6
7;Parasite;2019;Bong Joon Ho;Thriller;8.5
8;The Godfather;1972;Francis Ford Coppola;Crime;9.2
9;Avengers: Endgame;2019;Anthony Russo & Joe Russo;Action;8.4
10;The Shawshank Redemption;1994;Frank Darabont;Drama;9.3
